"MaritalStatus","Gender","EstimatedYearlyIncome","NumberOfContracts","Age","Target","Available401K","CustomerValueSegment","ChurnScore","CallActivity","SentimentRating","Products","WebActivity"
"M","M",90000,0,44,"1",1,1,0.1,4,2,"Private Investment",0
"S","M",60000,1,45,"1",0,1,0,4,3,"Private Investment",3
"M","M",60000,1,45,"1",1,1,0.2,4,3,"Private Investment",3
"S","F",70000,1,42,"1",0,1,0.5,4,0,"Private Investment",0
"S","F",80000,4,42,"1",1,1,0.1,4,5,"Private Investment",5
"S","M",70000,1,45,"1",1,1,0.5,4,0,"Private Investment",0
"S","F",70000,1,44,"1",1,1,0.5,4,0,"Private Investment",0
"M","M",60000,2,46,"1",1,1,0,4,3,"Private Investment",3
"S","F",60000,3,46,"1",1,1,1,4,4,"Private Investment",4
"S","M",70000,1,46,"1",0,1,0.5,4,0,"Private Investment",0
"S","F",70000,1,46,"1",0,1,0.5,4,0,"Private Investment",0
"M","M",60000,4,46,"1",1,1,1,4,4,"Private Investment",4
"M","F",100000,2,42,"0",1,2,0.1,5,2,"Private Investment",0
"M","M",100000,3,42,"0",1,2,0,5,2,"Private Investment",0
"S","F",100000,3,42,"0",0,2,0.1,5,3,"Private Investment",0
"S","F",30000,1,31,"1",0,2,0.5,3,0,"P+B Investment",0
"M","M",30000,1,31,"1",1,2,0.5,3,0,"P+B Investment",0
"S","F",20000,2,66,"1",1,1,0.5,3,4,"Gold Investment",0
"S","M",30000,2,66,"1",1,1,0.5,2,2,"P+B Investment",0
"S","M",40000,2,32,"0",0,2,0.5,3,0,"Gold Investment",0
"S","M",40000,2,32,"1",0,2,0.1,3,0,"Gold Investment",0
"S","F",40000,1,32,"1",0,2,0.1,3,0,"P+B Investment",0
"M","M",40000,1,32,"1",1,2,0.5,3,0,"P+B Investment",0
"M","M",40000,1,32,"0",1,2,0.1,3,0,"P+B Investment",0
"M","M",60000,2,32,"0",1,2,0.5,3,0,"P+B Investment",0
"M","M",10000,2,64,"1",1,1,0.1,2,2,"CO Investment",1
"S","M",30000,2,64,"1",0,1,0.1,2,2,"P+B Investment",0
"M","M",30000,2,63,"1",1,1,0.5,2,2,"P+B Investment",0
"M","F",30000,2,64,"1",1,1,0.1,2,2,"P+B Investment",0
"M","M",30000,2,63,"1",1,1,0.1,2,2,"P+B Investment",0
"M","F",10000,2,63,"1",1,1,0.1,2,2,"CO Investment",1
"M","F",20000,2,63,"1",1,1,0.1,3,4,"Gold Investment",0
"M","F",20000,2,63,"1",1,1,0.1,3,4,"Gold Investment",0
"M","M",20000,2,63,"1",1,1,0.5,3,4,"Gold Investment",0
"M","F",20000,2,63,"1",1,1,0.5,3,4,"Gold Investment",0
"M","F",10000,2,62,"1",1,1,0.1,2,2,"CO Investment",1
"M","F",60000,2,31,"1",1,2,0.1,3,0,"P+B Investment",0
"S","F",40000,2,32,"1",0,2,0.5,2,0,"CO Investment",0
"M","F",10000,2,62,"1",1,1,0.5,2,2,"CO Investment",1
"M","M",30000,2,61,"1",1,1,0.5,2,3,"P+B Investment",0
"M","M",30000,2,33,"1",1,2,0.1,3,0,"P+B Investment",0
"M","F",60000,2,32,"1",1,2,0.1,3,0,"P+B Investment",0
"M","F",70000,2,33,"1",1,2,0,3,0,"P+B Investment",0
"M","M",60000,2,34,"0",1,2,0.5,3,0,"P+B Investment",0
"M","M",20000,2,61,"1",1,1,0.1,2,2,"CO Investment",1
"S","M",30000,2,60,"0",0,1,0.1,3,3,"Gold Investment",0
"M","F",30000,2,60,"1",1,1,0.5,3,3,"Gold Investment",0
"M","F",30000,2,60,"1",0,1,0.1,3,3,"Gold Investment",0
"M","M",30000,2,59,"1",1,1,0.5,3,3,"Gold Investment",0
"S","F",40000,2,30,"0",1,2,0.5,2,0,"CO Investment",0
"M","M",30000,2,59,"1",1,1,0.5,3,3,"Gold Investment",0
"S","M",30000,2,59,"0",0,1,0.1,3,3,"Gold Investment",0
"S","F",40000,2,59,"1",0,1,0.5,2,2,"P+B Investment",0
"M","F",60000,2,30,"1",0,2,0.1,3,0,"P+B Investment",0
"M","F",40000,2,58,"1",1,1,0.5,3,2,"P+B Investment",0
"M","M",40000,2,58,"1",1,1,0.5,3,2,"P+B Investment",0
"M","F",40000,2,57,"1",1,1,0.5,3,3,"P+B Investment",0
"M","M",70000,2,57,"1",1,1,0.1,5,2,"Fund Manager+",0
"M","M",80000,2,56,"1",1,1,0.1,3,2,"P+B Investment",0
"S","F",80000,2,56,"0",1,1,0.5,3,2,"P+B Investment",0
"M","M",80000,2,56,"1",1,1,0.5,3,2,"P+B Investment",0
"M","M",80000,2,56,"1",1,1,0.5,3,2,"P+B Investment",0
"M","M",40000,2,35,"1",1,2,0.5,3,0,"Gold Investment",0
"S","F",40000,2,35,"1",1,2,0.5,3,0,"Gold Investment",0
"M","M",40000,2,34,"1",1,2,0.5,3,0,"Gold Investment",0
"M","F",60000,2,37,"0",0,2,0.1,3,0,"P+B Investment",0
"M","F",70000,2,36,"0",1,2,0.5,4,0,"P+B Investment",0
"S","M",60000,2,34,"0",1,2,0.5,4,0,"P+B Investment",0
"S","F",80000,2,55,"0",1,1,0.5,3,2,"Gold Investment",0
"S","F",80000,2,55,"1",0,1,0.1,3,2,"Gold Investment",0
"M","M",80000,2,55,"1",1,1,0.5,3,2,"Gold Investment",0
"S","F",80000,2,55,"0",1,1,0.5,3,2,"Gold Investment",0
"S","F",80000,2,55,"1",0,1,0.1,3,2,"Gold Investment",0
"S","M",70000,2,54,"0",1,1,0.5,3,2,"Gold Investment",0
"S","F",80000,2,52,"1",1,1,0.5,4,2,"Gold Investment",0
"S","M",80000,2,53,"1",1,1,0.5,4,2,"Gold Investment",0
"S","F",80000,2,53,"1",0,1,0.1,4,2,"Gold Investment",0
"S","F",40000,2,36,"0",0,2,0.1,4,0,"Gold Investment",0
"S","M",160000,2,51,"0",1,1,0,5,0,"Fund Manager+",0
"M","M",170000,2,51,"1",1,1,0,5,0,"Fund Manager+",0
"M","F",120000,3,44,"0",1,2,0.2,5,2,"Private Investment",2
"S","F",130000,3,44,"1",0,2,0.1,5,0,"Fund Manager+",1
"M","F",130000,3,44,"1",1,2,0.1,5,0,"Fund Manager+",1
"S","M",80000,2,53,"1",0,2,0.1,3,2,"CO Investment",0
"S","F",60000,2,53,"0",0,2,0.5,4,2,"Gold Investment",0
"M","M",70000,0,52,"0",1,2,0,4,2,"P+B Investment",1
"M","F",70000,0,53,"0",0,2,0,4,3,"P+B Investment",2
"M","M",80000,0,52,"1",1,2,0.2,5,2,"Private Investment",1
"S","F",80000,1,53,"1",1,2,0.2,5,2,"Private Investment",1
"S","M",90000,1,52,"1",1,2,0.2,4,2,"P+B Investment",0
"M","M",90000,1,53,"0",1,2,0.5,4,2,"P+B Investment",0
"M","F",90000,0,43,"1",1,1,0.1,4,2,"Private Investment",2
"M","F",100000,0,43,"1",1,1,0,5,0,"Fund Manager+",0
"S","M",70000,1,48,"0",0,1,0,3,1,"P+B Investment",0
"S","M",70000,1,48,"1",1,1,0.5,3,1,"P+B Investment",0
"M","M",60000,1,48,"1",1,1,0.5,4,1,"Private Investment",0
"M","M",60000,1,48,"1",1,1,0.5,3,1,"P+B Investment",0
"S","F",60000,1,49,"0",0,1,0,3,1,"P+B Investment",0
"M","M",60000,1,49,"1",1,1,0,4,1,"Private Investment",0
"S","F",60000,1,50,"1",1,1,0.5,3,1,"P+B Investment",0
"S","F",70000,1,45,"1",0,1,0,4,0,"Private Investment",0
"S","F",80000,4,45,"0",1,1,0.1,4,5,"Private Investment",5
"S","F",70000,1,45,"1",1,1,0.5,4,0,"Private Investment",0
"M","M",70000,1,46,"1",0,1,0,4,0,"Private Investment",0
"S","F",70000,1,45,"1",0,1,0.5,4,0,"Private Investment",0
"S","M",70000,1,46,"1",0,1,0.5,4,0,"Private Investment",0
"M","F",90000,1,51,"1",1,1,0.5,4,1,"Private Investment",0
"S","F",70000,2,47,"1",0,1,0,4,0,"Private Investment",0
"S","M",70000,2,46,"1",0,1,0,4,0,"Private Investment",0
"M","M",60000,1,48,"1",1,1,0.5,3,1,"P+B Investment",0
"M","F",60000,1,48,"1",1,1,0,3,1,"P+B Investment",0
"M","F",60000,1,48,"1",1,1,0,3,1,"P+B Investment",0
"M","M",70000,2,48,"0",1,1,0.5,4,5,"Private Investment",4
"S","F",70000,2,48,"0",1,1,0.5,3,5,"P+B Investment",4
"M","M",70000,2,48,"0",1,1,0,3,5,"P+B Investment",4
"M","M",70000,2,48,"0",1,1,0.5,3,5,"P+B Investment",4
"M","F",70000,3,49,"1",1,1,1,3,5,"P+B Investment",4
"S","M",80000,1,53,"0",0,1,0,3,1,"P+B Investment",0
"S","M",30000,2,75,"0",0,1,0,2,2,"P+B Investment",0
"S","F",40000,1,74,"1",1,1,0.5,5,2,"Private Investment",0
"M","M",70000,3,49,"0",1,1,1,3,5,"P+B Investment",4
"M","M",70000,3,50,"0",1,1,0.5,3,5,"P+B Investment",4
"M","M",70000,3,50,"0",1,1,1,3,5,"P+B Investment",4
"S","M",80000,1,53,"1",1,1,0.5,3,1,"P+B Investment",0
"S","F",70000,1,54,"0",1,1,0.5,3,1,"P+B Investment",0
"M","M",10000,2,61,"1",0,1,0,3,2,"Gold Investment",1
"M","F",40000,1,34,"0",1,2,0.5,3,0,"Gold Investment",0
"M","F",40000,1,34,"0",1,2,0.5,3,0,"Gold Investment",0
"S","F",40000,1,35,"1",1,2,0.5,3,0,"Gold Investment",0
"M","F",30000,2,30,"0",1,2,0.5,3,0,"Gold Investment",0
"M","F",30000,2,30,"0",0,2,0,3,0,"Gold Investment",0
"S","F",30000,2,29,"1",0,2,0.5,3,0,"Gold Investment",0
"S","F",30000,2,30,"0",0,2,0,2,0,"CO Investment",0
"S","M",10000,2,64,"1",1,1,0.5,3,5,"Gold Investment",0
"S","M",30000,2,30,"1",0,2,0.5,2,0,"CO Investment",0
"S","F",40000,2,31,"1",0,2,0,3,0,"Gold Investment",0
"M","F",40000,2,32,"0",1,2,0.5,3,0,"Gold Investment",0
"M","F",40000,2,32,"0",0,2,0,3,0,"Gold Investment",0
"S","F",30000,2,71,"0",0,1,0.5,2,2,"P+B Investment",0
"M","F",40000,2,33,"0",0,2,0,3,0,"Gold Investment",0
"S","M",40000,2,33,"0",0,2,0,3,0,"Gold Investment",0
"M","M",40000,2,33,"0",1,2,0.5,3,0,"Gold Investment",0
"S","M",40000,2,31,"1",0,2,0,3,0,"Gold Investment",0
"S","F",40000,2,30,"1",0,2,0,3,0,"Gold Investment",0
"S","F",40000,2,71,"0",1,1,0.5,5,2,"Private Investment",0
"M","M",60000,1,71,"1",1,1,0,5,2,"Fund Manager+",0
